Function,Count Optimal,Mean,Median,Std Dev
himmelblau,31,4.703097436842036e-10,5.385558017245633e-11,1.2136199845462927e-09
griewank,16,0.0019118310048343785,9.434404016905873e-07,0.003234526459878913
rastrigin,0,0.0010040780114487753,0.0004628079652064798,0.001434801026626932
rosenbrock,0,4.91262148022799e-05,3.612483956352071e-05,4.463780515361716e-05
