Iteration,himmelblau,griewank,rastrigin,rosenbrock
0,3.727980581453656,0.028501124391441538,5.2020764500652765,0.7417668243381645
1,1.692792497448603,0.016091883136034775,3.417483833496961,0.20276710005379836
2,0.9684794318341554,0.009221727675404663,2.55413403057096,0.1111277092543828
3,0.4169364733127433,0.006199376209364873,1.898037969471372,0.07818566771775243
4,0.1990755647583729,0.0050438846812078915,1.5802062641514876,0.0600815046691768
5,0.12411897257856044,0.004634651027943585,1.2576683455597524,0.041019077062727095
6,0.04871153244267144,0.004340484768746507,1.091760181380033,0.03491337618057611
7,0.028122041415285345,0.003579852418812925,0.978730963476003,0.029231286626102988
8,0.004157917857832706,0.0035034908787263353,0.7782026079254908,0.026030298419284798
9,0.0028791689436316937,0.003187029377810905,0.7068651790400566,0.02285765439988094
10,0.002100199678063879,0.0028237834268588823,0.5772003812156172,0.018869511994761452
11,0.00032271853895823714,0.002697675074787192,0.45727967949649645,0.01832924986517717
12,0.00011171036878474035,0.0026041979651339996,0.3877708748969781,0.0168877042311525
13,6.537150412118931e-05,0.002576029757046971,0.34536316539451617,0.015731222181672704
14,5.301649217041472e-05,0.002468910746509653,0.3252658677330197,0.013167702321135545
15,3.531117166585261e-05,0.0024220228594047737,0.3091648762872928,0.009924445332414216
16,3.0211292993271794e-05,0.0023029001979458464,0.28083018546417676,0.0081236657586333
17,2.4484690482425222e-05,0.002175926386834876,0.2543423807521811,0.0069720658537440906
18,1.8896893196561933e-05,0.002171740244074161,0.1929662604693882,0.004577915583116033
19,1.3350017295666841e-05,0.002154622619524647,0.16749619935544746,0.004321752108887656
20,7.1638653166909215e-06,0.002152458506317379,0.12751017684968258,0.0037673682482777704
21,6.329687642920453e-06,0.002085723796324653,0.11282151634047673,0.0035617621684627216
22,3.6983514183112924e-06,0.0020761104790624207,0.08791563821767164,0.0027478986747664553
23,1.5253610572697833e-06,0.0020578677802290837,0.07596857105163751,0.0022584779549790135
24,7.89555487767114e-07,0.0020300400088759697,0.0745842409906948,0.0019714705774819866
25,4.848341577417898e-07,0.0020160674638075404,0.07225472049535166,0.0016647181409384572
26,4.5914014866026306e-07,0.0020096671675519096,0.044435295989772736,0.0015332212712786497
27,3.041629558573599e-07,0.002000713211978026,0.04063659548102446,0.0015290930866937395
28,2.610292760626501e-07,0.0020004071873297663,0.03886616676747621,0.0014231296692770747
29,1.1859100391590003e-07,0.0019992525465148455,0.03630018755887691,0.0012758568566806929
30,5.426978208986472e-08,0.0019899729023088344,0.028971831316426694,0.0012624575143658438
31,4.866705230581351e-08,0.0019704707124782953,0.02787808624950724,0.0012519780957535533
32,4.075458121534728e-08,0.001967554146840019,0.022090426710900234,0.0012305181421987481
33,3.726917787763935e-08,0.0019659124728680904,0.016605447215482284,0.0009245976044600208
34,3.006679829969009e-08,0.0019567027588319203,0.016582540093975445,0.0006916619541378871
35,2.6925895161546774e-08,0.00195538662463496,0.014639197332279138,0.000625063642155133
36,2.6409565117057793e-08,0.0019488635944113727,0.013387133951352536,0.0005841624310281105
37,2.574433009237597e-08,0.0019430841014681296,0.011836695320649453,0.0005345218031535349
38,2.3318965519202812e-08,0.001942199966197442,0.011713773349975849,0.0004732531791699294
39,1.234243448237023e-08,0.001941934432330759,0.010912461162179065,0.00037190091124086904
40,1.2262722802629881e-08,0.0019412084159872597,0.010630042858304779,0.00037014352740973364
41,9.368226747371257e-09,0.0019407871908181922,0.009074955573492475,0.0003159870280641378
42,5.8118574874090995e-09,0.001936692359227275,0.009074093212284483,0.00027869821610556093
43,5.8118574874090995e-09,0.0019319802384112279,0.008995987023076562,0.00019824628062225212
44,5.164706055834512e-09,0.001931656374549177,0.008329606899638424,0.00019824628062225212
45,5.081769108603568e-09,0.0019315016630102242,0.008329606899638424,0.00019755342338920978
46,5.065607297867506e-09,0.0019308975955870129,0.008214528453032654,0.00019693712164978172
47,4.7950527111075876e-09,0.0019308975955870129,0.0072406714244823344,0.00018615625368562376
48,4.7950527111075876e-09,0.0019303927122747834,0.006932868776915493,0.00018615625368562376
49,4.787910356924808e-09,0.001928229366749473,0.006854490857645807,0.000182903950771245
50,4.6900095559453944e-09,0.0019263981860901409,0.006740660444307534,0.00016693849467387166
