Function,Count Optimal,Mean,Median,Std Dev
himmelblau,31,0.0,0.0,0.0
griewank,29,0.0004771657663906103,2.9165558856902862e-12,0.0018169855373140946
rastrigin,31,3.395019032928582e-12,3.552713678800501e-14,1.3167443563604635e-11
rosenbrock,31,6.027893429318368e-12,1.6673308166974442e-12,1.1347278970974794e-11
